X,geneID,transcriptID,transcriptName,classification,hybrid,rownum,chr,start,stop,strand,method,type
3309,ENSG00000272455,ENST00000607307,MRPL20-DT-201,single_exon,none,3309,chr1,1409096,1410618,+,HAVANA,exon
3612,ENSG00000215014,ENST00000366221,ENST00000366221,single_exon,HFE,3612,chr1,1574975,1577075,+,HAVANA,exon
3615,ENSG00000274481,ENST00000621860,ENST00000621860,single_exon,none,3615,chr1,1583510,1583909,-,HAVANA,exon
3618,ENSG00000228594,ENST00000422725,FNDC10-201,single_exon,none,3618,chr1,1598012,1600135,-,HAVANA,exon
3626,ENSG00000272106,ENST00000607222,ENST00000607222,single_exon,none,3626,chr1,1613758,1615795,-,HAVANA,exon
4270,ENSG00000269737,ENST00000596308,ENST00000596308,single_exon,none,4270,chr1,1671990,1673411,+,HAVANA,exon
4791,ENSG00000078369,ENST00000607589,GNB1-208,single_exon,HFE,4791,chr1,1824988,1825554,-,HAVANA,exon
5131,ENSG00000187730,ENST00000639625,GABRD-209,single_exon,HFE,5131,chr1,2023561,2024223,+,HAVANA,exon
5405,ENSG00000271806,ENST00000606533,ENST00000606533,single_exon,none,5405,chr1,2141084,2145279,-,HAVANA,exon
5602,ENSG00000116151,ENST00000607031,MORN1-210,single_exon,HFE,5602,chr1,2385372,2388509,-,HAVANA,exon
5611,ENSG00000272161,ENST00000607720,ENST00000607720,single_exon,none,5611,chr1,2326201,2326693,-,HAVANA,exon
5614,ENSG00000269896,ENST00000602865,ENST00000602865,single_exon,none,5614,chr1,2350414,2352820,-,HAVANA,exon
5616,ENSG00000269896,ENST00000417061,ENST00000417061,single_exon,none,5616,chr1,2351644,2351857,-,HAVANA,exon
5619,ENSG00000272420,ENST00000607858,ENST00000607858,single_exon,none,5619,chr1,2363061,2363628,-,HAVANA,exon
5980,ENSG00000272449,ENST00000606645,ENST00000606645,single_exon,HFE,5980,chr1,2546350,2547471,+,HAVANA,exon
6121,ENSG00000289610,ENST00000686752,ENST00000686752,single_exon,none,6121,chr1,2585610,2586060,+,HAVANA,exon
6383,ENSG00000169717,ENST00000378404,ACTRT2-201,single_exon,none,6383,chr1,3021467,3022903,+,HAVANA,exon
6392,ENSG00000177133,ENST00000606861,PRDM16-DT-207,single_exon,HFE,6392,chr1,3059615,3062531,-,HAVANA,exon
6432,ENSG00000177133,ENST00000702683,PRDM16-DT-211,single_exon,none,6432,chr1,3068652,3069091,-,HAVANA,exon
6553,ENSG00000283572,ENST00000635819,MIR4251-201,single_exon,none,6553,chr1,3127975,3128035,+,ENSEMBL,exon
6560,ENSG00000279839,ENST00000624175,ENST00000624175,single_exon,none,6560,chr1,3205988,3208664,+,HAVANA,exon
6563,ENSG00000272235,ENST00000607061,ENST00000607061,single_exon,none,6563,chr1,3306636,3310096,-,HAVANA,exon
6642,ENSG00000272088,ENST00000606489,ENST00000606489,single_exon,none,6642,chr1,3487246,3487627,+,HAVANA,exon
6810,ENSG00000207776,ENST00000385042,MIR551A-201,single_exon,none,6810,chr1,3560695,3560790,-,ENSEMBL,exon
6816,ENSG00000238260,ENST00000687047,ENST00000687047,single_exon,HFE,6816,chr1,3622857,3624786,-,HAVANA,exon
7096,ENSG00000227372,ENST00000624167,TP73-AS1-207,single_exon,HFE,7096,chr1,3735601,3736588,-,HAVANA,exon
7260,ENSG00000276189,ENST00000611447,ENST00000611447,single_exon,none,7260,chr1,3736943,3737103,+,ENSEMBL,exon
7335,ENSG00000266075,ENST00000581512,RN7SL574P-201,single_exon,none,7335,chr1,3782815,3783111,+,ENSEMBL,exon
7338,ENSG00000272153,ENST00000607459,ENST00000607459,single_exon,none,7338,chr1,3785008,3785538,+,HAVANA,exon
8020,ENSG00000229280,ENST00000449232,EEF1DP6-201,single_exon,none,8020,chr1,4175528,4175899,-,HAVANA,exon
8210,ENSG00000260972,ENST00000564261,ENST00000564261,single_exon,none,8210,chr1,5492978,5494674,+,HAVANA,exon
8213,ENSG00000283356,ENST00000637697,ENST00000637697,single_exon,none,8213,chr1,5554747,5554881,+,HAVANA,exon
8224,ENSG00000264341,ENST00000579887,ENST00000579887,single_exon,none,8224,chr1,5564071,5564143,+,ENSEMBL,exon
8233,ENSG00000264101,ENST00000582517,MIR4689-201,single_exon,none,8233,chr1,5862672,5862741,-,ENSEMBL,exon
9327,ENSG00000271746,ENST00000607670,ENST00000607670,single_exon,none,9327,chr1,6393555,6394391,+,HAVANA,exon
9457,ENSG00000265392,ENST00000585139,MIR4252-201,single_exon,none,9457,chr1,6429834,6429896,-,ENSEMBL,exon
10090,ENSG00000253022,ENST00000517213,RNU6-731P-201,single_exon,none,10090,chr1,6540854,6540964,+,ENSEMBL,exon
10921,ENSG00000227950,ENST00000433407,ENST00000433407,single_exon,none,10921,chr1,6834333,6834618,-,HAVANA,exon
10928,ENSG00000207056,ENST00000384328,RNU1-8P-201,single_exon,none,10928,chr1,7219360,7219524,+,ENSEMBL,exon
10947,ENSG00000270171,ENST00000602640,ENST00000602640,single_exon,none,10947,chr1,7693124,7694844,-,HAVANA,exon
10950,ENSG00000270035,ENST00000602973,ENST00000602973,single_exon,none,10950,chr1,7698303,7698872,-,HAVANA,exon
10953,ENSG00000269978,ENST00000602916,ENST00000602916,single_exon,none,10953,chr1,7700704,7700970,-,HAVANA,exon
10972,ENSG00000269925,ENST00000602406,ENST00000602406,single_exon,none,10972,chr1,7776383,7776775,+,HAVANA,exon
11083,ENSG00000049246,ENST00000602883,PER3-207,single_exon,HFE,11083,chr1,7787322,7788570,+,HAVANA,exon
11144,ENSG00000270330,ENST00000603760,ENST00000603760,single_exon,none,11144,chr1,7942372,7942726,+,HAVANA,exon
11220,ENSG00000200344,ENST00000363474,Y_RNA.140-201,single_exon,none,11220,chr1,7982881,7982983,-,ENSEMBL,exon
11296,ENSG00000200975,ENST00000364105,RNU1-7P-201,single_exon,none,11296,chr1,8206434,8206597,-,ENSEMBL,exon
11303,ENSG00000251977,ENST00000516168,RNU6-991P-201,single_exon,none,11303,chr1,8292157,8292263,-,ENSEMBL,exon
11336,ENSG00000252254,ENST00000516445,Y_RNA.681-201,single_exon,none,11336,chr1,8328067,8328179,+,ENSEMBL,exon
11552,ENSG00000221083,ENST00000408156,ENST00000408156,single_exon,none,11552,chr1,8511795,8511919,-,ENSEMBL,exon
11555,ENSG00000270282,ENST00000605785,ENST00000605785,single_exon,none,11555,chr1,8512653,8513021,+,HAVANA,exon
11558,ENSG00000234619,ENST00000437586,RPL7P11-201,single_exon,none,11558,chr1,8750430,8751087,+,HAVANA,exon
11561,ENSG00000224315,ENST00000428803,RPL7P7-201,single_exon,none,11561,chr1,8786211,8786913,-,HAVANA,exon
11564,ENSG00000222511,ENST00000410579,Y_RNA.606-201,single_exon,none,11564,chr1,8796571,8796673,-,ENSEMBL,exon
11575,ENSG00000229716,ENST00000436229,RPL23AP19-201,single_exon,none,11575,chr1,8831007,8831375,+,HAVANA,exon
11710,ENSG00000274258,ENST00000618792,MIR6728-201,single_exon,none,11710,chr1,8866502,8866590,-,ENSEMBL,exon
11717,ENSG00000201725,ENST00000364855,RNU6-304P-201,single_exon,none,11717,chr1,8883427,8883533,-,ENSEMBL,exon
11720,ENSG00000238249,ENST00000425872,HMGN2P17-201,single_exon,none,11720,chr1,8893409,8894151,+,HAVANA,exon
11723,ENSG00000232208,ENST00000424862,ENST00000424862,single_exon,none,11723,chr1,8907393,8907744,-,HAVANA,exon
11726,ENSG00000232663,ENST00000431968,ENST00000431968,single_exon,none,11726,chr1,8909742,8909904,+,HAVANA,exon
11774,ENSG00000290109,ENST00000702996,ENST00000702996,single_exon,none,11774,chr1,8970490,8971244,-,HAVANA,exon
11777,ENSG00000265141,ENST00000583026,RN7SL451P-201,single_exon,none,11777,chr1,8979576,8979874,-,ENSEMBL,exon
11868,ENSG00000252404,ENST00000516595,ENST00000516595,single_exon,none,11868,chr1,9082696,9082879,+,ENSEMBL,exon
11889,ENSG00000228526,ENST00000701773,MIR34AHG-205,single_exon,HFE,11889,chr1,9181596,9182395,-,HAVANA,exon
11894,ENSG00000228526,ENST00000632503,MIR34AHG-202,single_exon,none,11894,chr1,9197143,9198906,-,HAVANA,exon
11897,ENSG00000284357,ENST00000385130,MIR34A-201,single_exon,none,11897,chr1,9151668,9151777,-,ENSEMBL,exon
11900,ENSG00000289914,ENST00000701624,ENST00000701624,single_exon,none,11900,chr1,9162322,9162945,-,HAVANA,exon
11960,ENSG00000284652,ENST00000641006,ENST00000641006,single_exon,none,11960,chr1,9421098,9422862,-,HAVANA,exon
11972,ENSG00000284693,ENST00000685867,LINC02606-204,single_exon,none,11972,chr1,9428014,9428960,-,HAVANA,exon
11975,ENSG00000252956,ENST00000517147,RNA5SP40-201,single_exon,none,11975,chr1,9437669,9437778,-,ENSEMBL,exon
11991,ENSG00000231181,ENST00000435277,ENST00000435277,single_exon,none,11991,chr1,9576427,9576985,+,HAVANA,exon
12455,ENSG00000280113,ENST00000639753,ENST00000639753,single_exon,none,12455,chr1,9826289,9828271,-,HAVANA,exon
12457,ENSG00000280113,ENST00000623863,ENST00000623863,single_exon,none,12457,chr1,9827610,9828258,-,ENSEMBL,exon
12562,ENSG00000202415,ENST00000365545,RN7SKP269-201,single_exon,none,12562,chr1,9947318,9947636,+,ENSEMBL,exon
12572,ENSG00000265521,ENST00000578045,MIR5697-201,single_exon,none,12572,chr1,9967381,9967458,+,ENSEMBL,exon
12717,ENSG00000224340,ENST00000456484,ENST00000456484,single_exon,none,12717,chr1,10054445,10054781,-,HAVANA,exon
12724,ENSG00000201746,ENST00000364876,RNU6-828P-201,single_exon,none,12724,chr1,10163268,10163374,+,ENSEMBL,exon
13297,ENSG00000264881,ENST00000577266,ENST00000577266,single_exon,none,13297,chr1,10227718,10227803,+,ENSEMBL,exon
13300,ENSG00000199562,ENST00000362692,RNU6-37P-201,single_exon,none,13300,chr1,10298966,10299072,+,ENSEMBL,exon
13303,ENSG00000264501,ENST00000584329,RN7SL731P-201,single_exon,none,13303,chr1,10306465,10306757,+,ENSEMBL,exon
13394,ENSG00000271989,ENST00000607572,ENST00000607572,single_exon,none,13394,chr1,10429881,10430677,-,HAVANA,exon
13506,ENSG00000243267,ENST00000461850,RN7SL614P-201,single_exon,none,13506,chr1,10616836,10617115,+,ENSEMBL,exon
13584,ENSG00000225158,ENST00000450782,HSPE1P24-201,single_exon,none,13584,chr1,10895761,10895998,+,HAVANA,exon
13844,ENSG00000120948,ENST00000607145,TARDBP-211,single_exon,HFE,13844,chr1,11029659,11030528,+,HAVANA,exon
14596,ENSG00000253086,ENST00000517277,RNU6-537P-201,single_exon,none,14596,chr1,11152350,11152452,+,ENSEMBL,exon
14610,ENSG00000207451,ENST00000384720,RNU6-291P-201,single_exon,none,14610,chr1,11226254,11226360,+,ENSEMBL,exon
14613,ENSG00000238173,ENST00000448289,RPL39P6-201,single_exon,none,14613,chr1,11232963,11233112,+,HAVANA,exon
14643,ENSG00000224338,ENST00000435243,MTCYBP45-201,single_exon,none,14643,chr1,11425257,11425821,-,HAVANA,exon
15430,ENSG00000276470,ENST00000622391,ENST00000622391,single_exon,none,15430,chr1,11843812,11843984,+,ENSEMBL,exon
15433,ENSG00000278852,ENST00000618496,ENST00000618496,single_exon,none,15433,chr1,11845549,11845697,+,ENSEMBL,exon
15445,ENSG00000275915,ENST00000617059,ENST00000617059,single_exon,none,15445,chr1,11847442,11847549,+,ENSEMBL,exon
15453,ENSG00000224904,ENST00000438808,SBF1P2-201,single_exon,none,15453,chr1,11877770,11880406,+,HAVANA,exon
15466,ENSG00000285646,ENST00000666735,ENST00000666735,single_exon,none,15466,chr1,11908151,11909330,+,HAVANA,exon
15475,ENSG00000199347,ENST00000362477,RNU5E-1-201,single_exon,none,15475,chr1,11908152,11908271,+,ENSEMBL,exon
15478,ENSG00000201801,ENST00000364931,RNU5E-4P-201,single_exon,none,15478,chr1,11909808,11909927,-,ENSEMBL,exon
15566,ENSG00000287384,ENST00000660216,ENST00000660216,single_exon,none,15566,chr1,11979533,11980127,-,HAVANA,exon
16040,ENSG00000270914,ENST00000603287,ENST00000603287,single_exon,none,16040,chr1,12017216,12017308,-,HAVANA,exon
16089,ENSG00000202461,ENST00000365591,Y_RNA.371-201,single_exon,none,16089,chr1,12024012,12024124,-,ENSEMBL,exon
16092,ENSG00000276869,ENST00000618194,MIR6729-201,single_exon,none,16092,chr1,12029158,12029222,+,ENSEMBL,exon
16095,ENSG00000243539,ENST00000496974,RN7SL649P-201,single_exon,none,16095,chr1,12036740,12037014,-,ENSEMBL,exon
16156,ENSG00000201135,ENST00000364265,RNU6-777P-201,single_exon,none,16156,chr1,12077881,12077984,-,ENSEMBL,exon
16159,ENSG00000227875,ENST00000439324,RPL23AP89-201,single_exon,none,16159,chr1,12080293,12080547,-,HAVANA,exon
16168,ENSG00000283789,ENST00000622420,MIR7846-201,single_exon,none,16168,chr1,12166943,12167038,+,ENSEMBL,exon
16203,ENSG00000263676,ENST00000584158,MIR4632-201,single_exon,none,16203,chr1,12191713,12191773,+,ENSEMBL,exon
16206,ENSG00000225196,ENST00000453852,RPL10P17-201,single_exon,none,16206,chr1,12220794,12221109,-,HAVANA,exon
16209,ENSG00000252969,ENST00000517160,SNORA70.22-201,single_exon,none,16209,chr1,12221148,12221271,-,ENSEMBL,exon
16591,ENSG00000239149,ENST00000459326,SNORA59A-201,single_exon,none,16591,chr1,12507246,12507397,+,ENSEMBL,exon
16628,ENSG00000221340,ENST00000408413,RNU6ATAC18P-201,single_exon,none,16628,chr1,12569972,12570072,-,ENSEMBL,exon
16631,ENSG00000276830,ENST00000622213,MIR6730-201,single_exon,none,16631,chr1,12578957,12579023,-,ENSEMBL,exon
16634,ENSG00000288927,ENST00000693657,ENST00000693657,single_exon,HFE,16634,chr1,12618389,12618961,+,HAVANA,exon
16640,ENSG00000272482,ENST00000606790,ENST00000606790,single_exon,none,16640,chr1,12618900,12619980,-,HAVANA,exon
16649,ENSG00000226166,ENST00000436879,ENST00000436879,single_exon,none,16649,chr1,12692909,12693020,+,HAVANA,exon
16737,ENSG00000207434,ENST00000384703,RNU6-1072P-201,single_exon,none,16737,chr1,12922554,12922660,+,ENSEMBL,exon
16769,ENSG00000277058,ENST00000681473,HNRNPCL3-202,single_exon,HFE,16769,chr1,13061158,13062878,+,HAVANA,exon
16823,ENSG00000179412,ENST00000323770,HNRNPCL4-201,single_exon,none,16823,chr1,13163914,13165631,-,HAVANA,exon
16861,ENSG00000207511,ENST00000384780,RNU6-771P-202,single_exon,none,16861,chr1,13279125,13279231,-,ENSEMBL,exon
17002,ENSG00000222952,ENST00000411020,RNA5SP41-201,single_exon,none,17002,chr1,13623184,13623284,-,ENSEMBL,exon
17009,ENSG00000253085,ENST00000517276,ENST00000517276,single_exon,none,17009,chr1,13696070,13696199,-,ENSEMBL,exon
17103,ENSG00000289380,ENST00000690275,ENST00000690275,single_exon,none,17103,chr1,13757778,13758465,+,HAVANA,exon
17196,ENSG00000252151,ENST00000516342,RNU6-1265P-201,single_exon,none,17196,chr1,14124233,14124335,-,ENSEMBL,exon
17929,ENSG00000251866,ENST00000516057,SCARNA21B-201,single_exon,none,17929,chr1,15542165,15542304,+,ENSEMBL,exon
17932,ENSG00000272510,ENST00000606186,ENST00000606186,single_exon,none,17932,chr1,15565611,15565956,-,HAVANA,exon
17948,ENSG00000235084,ENST00000454346,CHCHD2P6-201,single_exon,none,17948,chr1,15604597,15605043,+,HAVANA,exon
17951,ENSG00000252417,ENST00000516608,RNU7-179P-201,single_exon,none,17951,chr1,15608078,15608145,-,ENSEMBL,exon
17954,ENSG00000236500,ENST00000422383,CD24P1-201,single_exon,none,17954,chr1,15614643,15614867,-,HAVANA,exon
17994,ENSG00000215695,ENST00000345034,RSC1A1-201,single_exon,none,17994,chr1,15659713,15662033,+,HAVANA,exon
17997,ENSG00000271742,ENST00000606262,ENST00000606262,single_exon,none,17997,chr1,15682873,15683128,-,HAVANA,exon
18213,ENSG00000224321,ENST00000431782,RPL12P14-201,single_exon,none,18213,chr1,15792796,15793285,+,HAVANA,exon
18216,ENSG00000233954,ENST00000483273,UQCRHL-201,single_exon,none,18216,chr1,15807169,15809348,-,HAVANA,exon
18218,ENSG00000233954,ENST00000696689,UQCRHL-202,single_exon,none,18218,chr1,15807374,15807649,-,HAVANA,exon
18221,ENSG00000178715,ENST00000321418,ENST00000321418,single_exon,none,18221,chr1,15828232,15828669,+,HAVANA,exon
18277,ENSG00000270620,ENST00000604816,ENST00000604816,single_exon,none,18277,chr1,15917698,15917908,-,HAVANA,exon
18390,ENSG00000234607,ENST00000416882,ENST00000416882,single_exon,none,18390,chr1,15969632,15970194,+,HAVANA,exon
18393,ENSG00000231353,ENST00000424379,ENST00000424379,single_exon,none,18393,chr1,15988182,15988441,+,HAVANA,exon
18396,ENSG00000275503,ENST00000613591,ENST00000613591,single_exon,none,18396,chr1,15989140,15989375,-,HAVANA,exon
18958,ENSG00000288398,ENST00000671994,ENST00000671994,single_exon,none,18958,chr1,16228674,16231335,-,HAVANA,exon
18973,ENSG00000233929,ENST00000421314,MT1XP1-201,single_exon,none,18973,chr1,16241213,16241398,-,HAVANA,exon
19052,ENSG00000226457,ENST00000445689,RPL22P3-201,single_exon,none,19052,chr1,16369150,16369530,-,HAVANA,exon
19267,ENSG00000206652,ENST00000383925,RNU1-1-201,single_exon,none,19267,chr1,16514122,16514285,-,ENSEMBL,exon
19270,ENSG00000261135,ENST00000562878,ENST00000562878,single_exon,none,19270,chr1,16514645,16515754,+,HAVANA,exon
19286,ENSG00000277344,ENST00000516290,RNU1-6P-201,single_exon,none,19286,chr1,16534081,16534224,-,ENSEMBL,exon
19353,ENSG00000219481,ENST00000599908,NBPF1-206,single_exon,HFE,19353,chr1,16599603,16603049,-,HAVANA,exon
19360,ENSG00000271732,ENST00000607700,ENST00000607700,single_exon,none,19360,chr1,16617391,16617729,+,HAVANA,exon
19469,ENSG00000207513,ENST00000384782,RNU1-3-201,single_exon,none,19469,chr1,16666785,16666948,-,ENSEMBL,exon
19479,ENSG00000236698,ENST00000419267,EIF1AXP1-201,single_exon,none,19479,chr1,16685621,16686055,-,HAVANA,exon
19666,ENSG00000207389,ENST00000384659,RNU1-4-201,single_exon,none,19666,chr1,16740516,16740679,+,ENSEMBL,exon
19744,ENSG00000263811,ENST00000583661,MIR3675-201,single_exon,none,19744,chr1,16858949,16859021,-,ENSEMBL,exon
19775,ENSG00000277234,ENST00000362684,RNU1-5P-201,single_exon,none,19775,chr1,16873708,16873851,+,ENSEMBL,exon
19784,ENSG00000238142,ENST00000685891,ENST00000685891,single_exon,HFE,19784,chr1,16888381,16889684,-,HAVANA,exon
19809,ENSG00000235241,ENST00000453917,ENST00000453917,single_exon,none,19809,chr1,16889095,16889602,+,HAVANA,exon
19812,ENSG00000207005,ENST00000384278,RNU1-2-201,single_exon,none,19812,chr1,16895980,16896143,+,ENSEMBL,exon
19815,ENSG00000272426,ENST00000606899,ENST00000606899,single_exon,none,19815,chr1,16904339,16904776,-,HAVANA,exon
19818,ENSG00000290122,ENST00000703056,ENST00000703056,single_exon,none,19818,chr1,16905199,16905396,+,HAVANA,exon
20209,ENSG00000266634,ENST00000582732,MIR3972-201,single_exon,none,20209,chr1,17277889,17277975,+,ENSEMBL,exon
20302,ENSG00000290096,ENST00000702957,ENST00000702957,single_exon,none,20302,chr1,17439186,17439328,-,HAVANA,exon
20506,ENSG00000280222,ENST00000624418,ENST00000624418,single_exon,none,20506,chr1,18109389,18115861,+,HAVANA,exon
20519,ENSG00000179023,ENST00000400664,KLHDC7A-201,single_exon,none,20519,chr1,18480930,18485974,+,HAVANA,exon
20522,ENSG00000235282,ENST00000596113,DYNLL1P3-201,single_exon,none,20522,chr1,18513118,18513383,+,HAVANA,exon
20525,ENSG00000225478,ENST00000450125,ENST00000450125,single_exon,none,20525,chr1,18595414,18595636,+,HAVANA,exon
20642,ENSG00000265606,ENST00000577305,MIR4695-201,single_exon,none,20642,chr1,18883202,18883275,-,ENSEMBL,exon
20645,ENSG00000221662,ENST00000408735,MIR1290-201,single_exon,none,20645,chr1,18897071,18897148,-,ENSEMBL,exon
20672,ENSG00000272084,ENST00000606379,ENST00000606379,single_exon,none,20672,chr1,19072110,19075511,-,HAVANA,exon
21428,ENSG00000200403,ENST00000363533,RNU6-1099P-201,single_exon,none,21428,chr1,19305076,19305182,-,ENSEMBL,exon
21607,ENSG00000240490,ENST00000481521,RN7SL277P-201,single_exon,none,21607,chr1,19424384,19424671,+,ENSEMBL,exon
21665,ENSG00000201609,ENST00000364739,RNU4-28P-201,single_exon,none,21665,chr1,19510593,19510733,+,ENSEMBL,exon
21770,ENSG00000226396,ENST00000457263,ENST00000457263,single_exon,none,21770,chr1,19608114,19608568,+,HAVANA,exon
21851,ENSG00000178828,ENST00000375121,RNF186-201,single_exon,none,21851,chr1,19814029,19815283,-,HAVANA,exon
21881,ENSG00000242688,ENST00000488028,RN7SL304P-201,single_exon,none,21881,chr1,19970969,19971269,+,ENSEMBL,exon
22367,ENSG00000215520,ENST00000443195,RPS4XP4-201,single_exon,none,22367,chr1,20525989,20526751,+,HAVANA,exon
22370,ENSG00000183114,ENST00000332947,FAM43B-201,single_exon,none,22370,chr1,20552573,20555020,+,HAVANA,exon
22404,ENSG00000284005,ENST00000622012,MIR6084-201,single_exon,none,22404,chr1,20633679,20633788,+,ENSEMBL,exon
23239,ENSG00000251914,ENST00000516105,RNU7-200P-201,single_exon,none,23239,chr1,20841241,20841302,+,ENSEMBL,exon
23242,ENSG00000221808,ENST00000408881,MIR1256-201,single_exon,none,23242,chr1,20988314,20988432,-,ENSEMBL,exon
23245,ENSG00000233072,ENST00000420703,RPS15AP6-201,single_exon,none,23245,chr1,21003550,21003934,-,HAVANA,exon
